question, answer
who were napoleon's most faithful supporters?,napoleon's most faithful supporters were montholon,gourgaud,las cases,and antommarchi.
what did the emperor's most faithful supporters do after he died?,napoleon's most faithful supporters talked about him,distributed reminders of him,and idealized his life.
what contributed substantially to the napoleonic legend?,memoirs,notes,and narratives by those who had followed napoleon into exile contributed substantially to it.
what were some of the works written in napoleon's honor?,victor hugo's 'ode à la colonne' ('ode to the column'),the 28 volumes of the victoires et conquêtes des français ('victories and conquests of the french'),edited by charles-louis-fleury panckoucke,and sir walter scott's life of napoleon buonaparte,emperor of the french.
what did the police and prosecutions try to prevent?,the police and prosecutions tried to prevent books,pictures,and objects evoking the imperial saga from multiplying in france.
who disliked napoleon from the start?,napoleon
what was the name of the band of volunteers composed largely of enemies of the bonaparte family?,corsican rangers
why did lowe come into conflict with las cases?,he saw las cases as napoleon's confidant
what happened to barry o'meara?,dismissed
what happened to john stokoe?,dismissed
who took the place of barry o'meara and john stokoe?,francesco antommarchi
were napoleon's disease curable?,uncertain
what has been the subject of continuing controversy?,cause of his death
when did the illness become rapidly worse?,from the beginning of 1821
when was napoleon confined to bed?,from march
what did napoleon dictate in april?,his last will
when did napoleon die?,may 5
how old was napoleon when he died?,not yet 52 years old
what was napoleon's favourite uniform?,chasseurs de la garde
what book was published in 1822?,napoleon in exile; or,a voice from saint helena
what book was published in 1823?,mémoires pour servir à l'histoire de france sous napoléon,écrits à sainte-hélène sous sa dictée
what book was published in 1825?,derniers moments de napoléon
what book was published by victor hugo?,ode à la colonne
what book was published by charles-louis-fleury panckoucke?,victoires et conquêtes des français
what book was published by sir walter scott?,life of napoleon buonaparte,emperor of the french
who disliked napoleon and had las cases arrested and expelled?,sir hudson lowe
what was napoleon's illness at the end of 1817?,an ulcer or a cancer of the stomach
who was napoleon's irish doctor who was dismissed?,barry o'meara
what was napoleon's last uniform?,that of the chasseurs de la garde
what were napoleon's last words?,my god…the french nation…my son…head of the army
what was written on napoleon's tomb?,ci-gît ('here lies')
what was the name of vicomte de chateaubriand's pamphlet about napoleon?,de buonaparte,des bourbons,et de la nécessité de se rallier à nos princes légitimes,pour le bonheur de la france et celui de l'europe (1814; on buonaparte and the bourbons,and the necessity of rallying around our legitimate princes,for the safety of france and of europe)
who wrote the ballad 'die grenadiere'?,heinrich heine
who wrote the biography 'vie de napoléon' (life of napoleon)?,stendhal
what was the title of barry o'meara's book about napoleon?,napoleon in exile; or,a voice from saint helena
what was the title of montholon and gourgaud's book about napoleon?,mémoires pour servir à l'histoire de france sous napoléon,écrits à sainte-hélène sous sa dictée (memoirs of the history of france during the reign of napoleon,dictated by the emperor at saint helena)
what was the title of las cases' book about napoleon?,mémorial
what was the title of antommarchi's book about napoleon?,derniers moments de napoléon (the last days of emperor napoleon)
what was the title of victor hugo's ode to napoleon?,ode à la colonne ('ode to the column')
what was the title of the 28-volume series about the french victories and conquests?,victoires et conquêtes des français ('victories and conquests of the french')
who wrote the life of napoleon buonaparte,emperor of the french?,sir walter scott
who disliked napoleon from the start?,napoleon
what was the name of the band of volunteers that lowe commanded?,corsican rangers
who was arrested and expelled by lowe?,las cases
what was napoleon's first sign of illness?,an ulcer or a cancer of the stomach
who was the irish doctor who was dismissed?,barry o'meara
who was the undistinguished corsican doctor who took their place?,francesco antommarchi
when did napoleon's illness become rapidly worse?,from the beginning of 1821
when was napoleon confined to bed?,from march
what did napoleon dictate in april?,his last will
when did napoleon die?,may 5
how old was napoleon when he died?,not yet 52 years old
what was napoleon dressed in for his funeral?,his favourite uniform,that of the chasseurs de la garde
where was napoleon buried?,rupert valley
what was the name of the pamphlet written by the vicomte de chateaubriand?,de buonaparte,des bourbons,et de la nécessité de se rallier à nos princes légitimes,pour le bonheur de la france et celui de l'europe (1814; on buonaparte and the bourbons,and the necessity of rallying around our legitimate princes,for the safety of france and of europe)
who published an 'ode to napoleon buonaparte' in 1814?,lord byron
who wrote the ballad 'die grenadiere'?,heinrich heine
who began his biography vie de napoléon (life of napoleon) in 1817?,stendhal
what did memoirs,notes,and narratives by those who had followed him into exile contribute to?,the napoleonic legend
who published napoleon in exile; or,a voice from saint helena in 1822?,o'meara
who began publishing the mémoires pour servir à l'histoire de france sous napoléon,écrits à sainte-hélène sous sa dictée (memoirs of the history of france during the reign of napoleon,dictated by the emperor at saint helena) in 1823?,montholon and gourgaud
who presented the emperor as a republican opposed to war who had fought only when europe forced him to fight in defense of freedom in his mémorial?,las cases
who published derniers moments de napoléon (the last days of emperor napoleon) in 1825?,antommarchi
what was the name of victor hugo's ode?,ode à la colonne ('ode to the column')
what was the name of the 28 volumes of the victoires et conquêtes des français ('victories and conquests of the french')?,edited by charles-louis-fleury panckoucke
who wrote the life of napoleon buonaparte,emperor of the french?,sir walter scott
what was napoleon's relationship with lowe?,he disliked him as the former commander of the corsican rangers and had him arrested and expelled.
what was napoleon's first sign of illness?,an ulcer or cancer of the stomach at the end of 1817.
who dismissed barry o'meara?,lowe
who was napoleon's successor after barry o'meara?,john stokoe,who was also dismissed and replaced by the undistinguished corsican doctor,francesco antommarchi.
what treatment did antommarchi prescribe?,a treatment that could do nothing to cure napoleon's disease.
was napoleon's disease curable?,uncertain,even by 21st-century methods.
what is the cause of napoleon's death?,controversial,but the evidence used to support the theory that he was poisoned is not considered conclusive by many scholars.
when did napoleon's illness become rapidly worse?,from the beginning of 1821.
when was napoleon confined to bed?,from march.
when did napoleon dictate his last will?,in april.
when did napoleon die?,5:49 pm on may 5th,1821.
how old was napoleon when he died?,not yet 52 years old.
what was napoleon dressed in for his funeral?,his favourite uniform,that of the chasseurs de la garde,covered by the gray overcoat that he had worn at marengo.
where was napoleon's funeral conducted?,in the rupert valley.
what was written on napoleon's tomb?',ci-gît' ('here lies').
what happened after napoleon's death?,a torrent of hostile books were published to sully his reputation,but anti-napoleonic literature soon died down and the task of defending napoleon was taken up.
who idealized napoleon's life?,his most faithful supporters.
what contributed substantially to the napoleonic legend?,memoirs,notes,and narratives by those who had followed him into exile.
what famous works were published in napoleon's honour?,victor hugo's 'ode à la colonne',the 28 volumes of the 'victoires et conquêtes des français',edited by charles-louis-fleury panckoucke,and sir walter scott's 'life of napoleon buonaparte,emperor of the french'.
what was the effect of police action and prosecutions on the spread of the imperial saga in france?,it could not prevent books,pictures,and objects evoking the imperial saga from multiplying.
who disliked napoleon from the start?,napoleon from the start disliked him as the former commander of the corsican rangers,a band of volunteers composed largely of enemies of the bonaparte family.
what did las cases do that caused him to be arrested and expelled?,lowe saw las cases as napoleon's confidant and had him arrested and expelled.
what was the name of the doctor who took over after barry o'meara and john stokoe?,francesco antommarchi
what was the name of the pamphlet written by vicomte de chateaubriand?,de buonaparte,des bourbons,et de la nécessité de se rallier à nos princes légitimes,pour le bonheur de la france et celui de l'europe (1814; on buonaparte and the bourbons,and the necessity of rallying around our legitimate princes,for the safety of france and of europe)
what was the name of the german poet who wrote the ballad 'die grenadiere'?,heinrich heine
what was the name of the french novelist who began the biography vie de napoléon (life of napoleon) in 1817?,stendhal
what was the name of o'meara's published book in 1822?,napoleon in exile; or,a voice from saint helena
what was the name of the publication that began in 1823 by montholon and gourgaud?,mémoires pour servir à l'histoire de france sous napoléon,écrits à sainte-hélène sous sa dictée (memoirs of the history of france during the reign of napoleon,dictated by the emperor at saint helena)
what was the name of las cases' famous work?,mémorial
what was the name of the publication by antommarchi in 1825?,derniers moments de napoléon (the last days of emperor napoleon).
what were among the works in napoleon's honour?,victor hugo's 'ode à la colonne' ('ode to the column'),the 28 volumes of the victoires et conquêtes des français ('victories and conquests of the french'),edited by charles-louis-fleury panckoucke,and sir walter scott's life of napoleon buonaparte,emperor of the french.
who disliked napoleon from the start?,napoleon disliked lowe as the former commander of the corsican rangers,a band of volunteers composed largely of enemies of the bonaparte family.
what did lowe do to las cases?,lowe saw las cases as napoleon's confidant and had him arrested and expelled.
what was napoleon's first sign of illness?,napoleon showed the first signs of illness at the end of 1817; he seems to have had an ulcer or a cancer of the stomach.
what happened to barry o'meara?,barry o'meara,having asked in vain for a change in the conditions under which napoleon lived,was dismissed.
what treatment did francesco antommarchi prescribe to napoleon?,francesco antommarchi prescribed a treatment that could do nothing to cure his patient.
is it certain that napoleon's disease was curable?,it is uncertain,however,whether napoleon's disease was curable at all,even by 21st-century methods.
what was the cause of napoleon's death?,there has been continuing controversy about the cause of his death,but the evidence used by some to support the theory that napoleon was poisoned is not considered conclusive by many scholars.
when did napoleon become confined to bed?,from march,napoleon was confined to bed.
which phrase did napoleon speak on april?,on april he dictated his last will: on may 5 he spoke a few coherent phrases: 'my god…the french nation…my son…head of the army'.
when and at what age did napoleon die?,he died at 5:49 pm on that day,not yet 52 years old.
what was napoleon's favorite uniform?,his favorite uniform was that of the chasseurs de la garde.
what did napoleon's funeral look like?,the funeral was conducted simply,but with due propriety,in the rupert valley.
what was the purpose of the pamphlet de buonaparte,des bourbons,et de la nécessité de se rallier à nos princes légitimes,pour le bonheur de la france et celui de l'europe?,the purpose of the pamphlet was to sully napoleon's reputation and rally support for the legitimate princes of france.
who published the 'ode to napoleon buonaparte'?,lord byron.
who wrote the ballad 'die grenadiere'?,heinrich heine.
who began his biography vie de napoléon in 1817?,stendhal.
what did napoleon's most faithful supporters do after his death?,they worked toward his rehabilitation,talking about him,and distributing reminders of him,including engravings.
what was the name of o'meara's book published in 1822?,napoleon in exile; or,a voice from saint helena.
what was the name of the book published by montholon and gourgaud in 1823?,mémoires pour servir à l'histoire de france sous napoléon,écrits à sainte-hélène sous sa dictée.
what was the name of las cases's book published in 1823?,mémorial.
what was the name of antommarchi's book published in 1825?,derniers moments de napoléon.
what was the name of victor hugo's poem?,ode à la colonne.
what was the name of the 28 volumes edited by charles-louis-fleury panckoucke?,victoires et conquêtes des français.
what was the name of sir walter scott's book?,life of napoleon buonaparte,emperor of the french.
what happened after the july revolution of 1830?,the 'bourgeois monarchy' was created under louis-philippe.
what was the government's attitude toward the tricolor flag?,they tolerated its growth and even promoted it.
what was put back on top of the column in the place vendôme in paris in 1833?,the statue of napoleon.
who was sent to fetch napoleon's remains from saint helena?,françois,prince de joinville.
when was napoleon's funeral held in paris?,december 1840.
where was napoleon's body conveyed through?,the arc de triomphe in the place de l'étoile.
where was napoleon's body entombed?,under the dome of the invalides.
who exploited the legend of napoleon to seize power in france?,louis-napoléon.
what were louis-napoléon's attempts at strasbourg in 1836 and boulogne in 1840?,failures.
when was louis-napoléon elected to the presidency of the second republic?,1848.
when did louis-napoléon carry out the coup d'état?,december 1851.
when did louis-napoléon make himself emperor?,1852.
what damaged the napoleonic legend in 1870?,the disastrous end of the second empire.
what is the name of the anti-napoleonic literature that arose after 1870?,origines de la france contemporaine.
what made it possible to judge napoleon more fairly?,world wars i and ii,and the experience of 20th-century dictatorships.
how does napoleon compare to stalin or hitler?,napoleon is more favorable.
what was napoleon known for?,tolerance,release of jews from ghettos,and respect for human life.
what was napoleon's relationship to the enlightenment?,he was brought up on the rationalist encyclopédie and the writings of the philosophers of the enlightenment.
what is one of the gravest accusations made against napoleon?,that he was the 'corsican ogre' who sacrificed millions of men to his ambition.
how many casualties did france suffer in the napoleonic wars of 1800-15?,about 500,000.
how did the napoleonic wars affect the social structure of france?,little.
what was the great mass of peasants in france comprised of?,three-fourths of the population.
what was the nobility like in france under napoleon?,it declined,but napoleon restored it.
what durable institutions did napoleon leave behind?,the administrative system of the prefects,the napoleonic code,the judicial system,the banque de france,the country's financial organization,the centralized university,and the military academies.
how did napoleon change the history of france and the world?,he initiated many enduring reforms.
what is napoleon's legacy?,he is considered one of the greatest military commanders in history,but his authoritarian rule has been criticized.
is napoleon responsible for the napoleonic wars?,historians still debate this question.
what happened after the july revolution of 1830?,thousands of tricolor flags appeared in windows,and the government had not only to tolerate the growth of the legend but even to promote it.
what was put back on the top of the column in the place vendôme in paris in 1833?,the statue of napoleon
who was sent in a warship to fetch the emperor's remains from saint helena?,françois,prince de joinville
when was a magnificent funeral held in paris?,december 1840
where was napoleon's body conveyed through?,the arc de triomphe in the place de l'étoile
what did louis-napoléon exploit in order to seize power in france?,the napoleonic legend
when was louis-napoléon elected to the presidency of the second republic?,1848
when did louis-napoléon carry out the coup d'état and make himself emperor?,1851
what damaged the napoleonic legend?,the disastrous end of the second empire in 1870
what is hippolyte taine's book called?,origines de la france contemporaine (1876 94; the origins of contemporary france)
what made it possible to judge napoleon more fairly?,world wars i and ii,together with the experience of the 20th-century dictatorships
what is one of the gravest accusations made against napoleon?,that he was the 'corsican ogre' who sacrificed millions of men to his ambition
how many casualties did the napoleonic wars of 1800 15 cost france?,about 500,000
what did the napoleonic wars not greatly affect?,the growth of the population
how did the social structure of france change under the first empire?,it remained roughly what the revolution had made it
what made remarkable progress during the war and the blockade of english goods?,industry
what began only after 1815?,the great migrations from rural areas toward industry in the towns
what did napoleon restore?,the nobility
what are some of the durable institutions that napoleon left?,the administrative system of the prefects,the napoleonic code,the judicial system,the banque de france and the country's financial organization,the centralized university,and the military academies
what did napoleon change?,the history both of france and of the world
what was napoleon bonaparte's regnal name?,napoleon i
what was napoleon bonaparte's title from 1799 to 1804?,first consul
what was napoleon bonaparte's title from 1804 until 1814?,emperor of the french
what is napoleon bonaparte considered to be?,one of the greatest military commanders in history
what were the visible signs of the growth of the napoleonic legend in france after the july revolution of 1830?,thousands of tricolor flags appeared in windows,the statue of napoleon was put back on top of the column in the place vendôme in paris,and the emperor's remains were brought back to france.
what were some of the key reforms and institutions established by napoleon during his rule?,the administrative system of the prefects,the napoleonic code,the judicial system,the banque de france and the country's financial organization,the centralized university,and the military academies.
how did napoleon's nephew,louis-napoléon,exploit the napoleonic legend to seize power in france?,he won election to the presidency of the second republic with an overwhelming majority in 1848 and was able to carry out the coup d'état of december 1851 and make himself emperor in 1852.
what were the social and economic effects of the napoleonic wars on france?,france lost about 500,000 men during the wars,about one-sixtieth of the population,but the population continued to grow.
the social structure of france changed little,with a large mass of peasants comprising three-fourths of the population.
industry made progress in northern and eastern france,but declined in the south and west.
what was napoleon's political ideology?,he was influenced by the rationalist encyclopédie and the writings of the philosophies of the enlightenment,and remained a man of the 18th century,the last of the 'enlightened despots'.
how did napoleon's rule end?,he was defeated at the battle of waterloo in 1815,exiled to the island of saint helena,and died there in 1821.
what was napoleon's legacy?,he is considered one of the greatest military commanders in history,but his authoritarian rule and the napoleonic wars,in which between three and six million people died,are also remembered.
he left durable institutions that shaped modern france,including the administrative system,the napoleonic code,and the centralized university.
who put the statue of napoleon back on the column in the place vendôme in paris?,king louis-philippe
what did louis-napoléon exploit?,the legend of napoleon
what was louis-napoléon's nephew called?,françois,prince de joinville
what did napoleon do for the jews?,freed them from ghettos
how many casualties did france suffer in the napoleonic wars?,500,000
what percentage of the french population were peasants under the first empire?,three-fourths
what industries made progress during the first empire?,industry in northern and eastern france
what did napoleon leave behind?,the administrative system of the prefects,the napoleonic code,the judicial system,the banque de france,the centralized university,and the military academies
what did napoleon change?,the history of france and the world
who was napoleon bonaparte?,a french emperor and military commander who rose to prominence during the french revolution and led successful campaigns during the revolutionary wars
what does napoleon have a legacy for?,his political and cultural legacy endures as a celebrated and controversial leader
what is napoleon considered?,one of the greatest military commanders in history
how many people died in the napoleonic wars?,between three and six million
what was the result of the july revolution of 1830?,it created the 'bourgeois monarchy' under louis-philippe.
what was the government's response to the growth of the legend of napoleon?,they tolerated it and even promoted it.
when was the statue of napoleon put back on the top of the column in the place vendôme in paris?,1833
what was the purpose of francois,prince de joinville's trip to saint helena?,to fetch napoleon's remains.
when was napoleon's funeral held in paris?,december 1840
what did napoleon's nephew louis-napoléon do to exploit the legend of napoleon?,he used it to seize power in france.
what were napoleon's attempts at strasbourg in 1836 and boulogne in 1840?,failures
what was the main reason for louis-napoléon's election to the presidency of the second republic in 1848?,the growth of the legend of napoleon.
what did louis-napoléon do after becoming president of the second republic?,he carried out the coup d'état of december 1851 and made himself emperor in 1852.
what was the impact of the disastrous end of the second empire in 1870 on the legend of napoleon?,it damaged it and gave rise to a new anti-napoleonic literature.
what made it possible to judge napoleon more fairly in the 20th century?,world wars i and ii,and the experience of the 20th-century dictatorships.
how was napoleon known for his tolerance?,he released jews from ghettos and respected human life.
what was napoleon's view of the french revolution?,he remained above all a man of the 18th century,the last of the 'enlightened despots'.
what is one of the gravest accusations made against napoleon?,that he was the 'corsican ogre' who sacrificed millions of men to his ambition.
how many casualties did france suffer in the napoleonic wars of 1800-1815?,about 500,000,or about one-sixtieth of the population.
how did the napoleonic wars affect the social structure of france?,it changed little.
what was the state of industry in france during the napoleonic wars?,it made remarkable progress in northern and eastern france,but declined in the south and west.
when did the great migrations from rural areas toward industry in the towns begin?,after 1815
what did napoleon restore?,the nobility
what durable institutions did napoleon leave behind?,the administrative system of the prefects,the napoleonic code,the judicial system,the banque de france and the country's financial organization,the centralized university,and the military academies.
how did napoleon change the history of france and the world?,he initiated many enduring reforms and was a great military commander.
what was napoleon's full name?,napoleon bonaparte,later known as napoleon i
when was napoleon born?,august 15,1769
when did napoleon die?,may 5,1821
what was napoleon's regnal name?,napoleon i
what was napoleon's role in the french revolution?,he rose to prominence during the french revolution and led successful campaigns during the revolutionary wars.
what was napoleon's role in the french republic?,he was the leader of the french republic as first consul from 1799 to 1804.
what was napoleon's role in the french empire?,he was the emperor of the french from 1804 until 1814,and briefly again in 1815.
what is napoleon's political and cultural legacy?,he is remembered as a celebrated and controversial leader who initiated many enduring reforms.
what is napoleon's military legacy?,he is considered one of the greatest military commanders in history.
what is the subject of debate among historians about napoleon?,whether he was responsible for the napoleonic wars in which between three and six million people died.
where was napoleon born?,on the island of corsica
who was louis-napoleon?,napoleon's nephew who exploited the legend in order to seize power in france
what happened after the july revolution of 1830?,the creation of the 'bourgeois monarchy' under louis-philippe,tricolor flags appeared in windows,the growth of the legend of napoleon was tolerated and promoted by the government
what happened in 1833?,the statue of napoleon was put back on top of the column in the place vendôme in paris
what happened in 1840?,the king's son françois,prince de joinville,was sent in a warship to fetch the emperor's remains from saint helena to the banks of the seine in accordance with his last wishes
what happened in december 1840?,a magnificent funeral was held in paris for napoleon,and his body was conveyed through the arc de triomphe in the place de l'étoile to entombment under the dome of the invalides
what happened in 1848?,louis-napoleon was elected president of the second republic with an overwhelming majority
what happened in december 1851?,louis-napoleon carried out a coup d'état and made himself emperor in 1852
what was the disastrous end of the second empire in 1870?,it damaged the napoleonic legend and gave rise to a new anti-napoleonic literature
what happened in world wars i and ii?,together with the experience of the 20th-century dictatorships,it made it possible to judge napoleon more fairly
what was napoleon known for?,his tolerance,release of jews from ghettos,and respect for human life
what was one of the gravest accusations made against napoleon?,that he was the 'corsican ogre' who sacrificed millions of men to his ambition
how many casualties did the napoleonic wars of 1800-1815 cost france?,about 500,000,about one-sixtieth of the population,with another 500,000 imprisoned or missing
how did the social structure of france change under the first empire?,it remained roughly what the revolution had made it: a great mass of peasants comprising three-fourths of the population,about half of them working owners of their farms or sharecroppers and the other half with too little land for their own subsistence and hiring themselves out as labourers
how did industry in france change under the first empire?,it made remarkable progress in northern and eastern france,whence exports could be sent to central europe; but it declined in the south and west because of the closing of the mediterranean and the atlantic
when did the great migrations from rural areas toward industry in the towns begin?,after 1815
what did napoleon restore?,the nobility
what durable institutions did napoleon leave?,the administrative system of the prefects,the napoleonic code,the judicial system,the banque de france and the country's financial organization,the centralized university,and the military academies
what was napoleon's political and cultural legacy?,he initiated many enduring reforms,but has been criticized for his authoritarian rule
what is napoleon considered?,one of the greatest military commanders in history
what was the name of the monarchy created after the july revolution of 1830?,bourgeois monarchy
who was the king under the bourgeois monarchy?,louis-philippe
what symbol of napoleon was put back on the top of the column in the place vendome in paris in 1833?,statue of napoleon
who was sent to fetch napoleon's remains from saint helena in 1840?,franois,prince de joinville
where was napoleon's body entombed?,dome of the invalides
how did napoleon's nephew louis-napoleon exploit the legend?,to seize power in france
what were louis-napoleon's attempts at strasbourg in 1836 and at boulogne in 1840?,failures
when was louis-napoleon elected to the presidency of the second republic?,1848
what did louis-napoleon do in december 1851?,carried out the coup d'tat
what was the disastrous end of the second empire in 1870?,damaged the napoleonic legend
who wrote the anti-napoleonic literature origines de la france contemporaine?,hippolyte taine
what world wars made it possible to judge napoleon more fairly?,world wars i and ii
what was napoleon known for?,his tolerance,release of jews from ghettos,and respect for human life
what was napoleon's social structure like?,a great mass of peasants comprising three-fourths of the population
what stimulated industry in northern and eastern france?,the war and the blockade of english goods
what caused industry to decline in the south and west?,the closing of the mediterranean and the atlantic
when did the great migrations from rural areas toward industry in the towns begin?,after 1815
what did napoleon leave behind as durable institutions?,the administrative system of the prefects,the napoleonic code,the judicial system,the banque de france,the country's financial organization,the centralized university,and the military academies
what was napoleon's political legacy?,he initiated many enduring reforms,but has been criticized for his authoritarian rule
what is napoleon considered in history?,one of the greatest military commanders in history
how many people died in the napoleonic wars?,between three and six million
who was napoleon bonaparte?,napoleon bonaparte (born napoleone di buonaparte; 15 august 1769 5 may 1821),later known by his regnal name napoleon i,was a french emperor and military commander who rose to prominence during the french revolution and led successful campaigns during the revolutionary wars.
what was the political legacy of napoleon i?,his political and cultural legacy endures as a celebrated and controversial leader.
he initiated many enduring reforms,but has been criticized for his authoritarian rule.
what was the military legacy of napoleon i?,he is considered one of the greatest military commanders in history and his wars and campaigns are still studied at military schools worldwide.
how many people died in the napoleonic wars?,historians still debate whether he was responsible for the napoleonic wars in which between three and six million people died.
where was napoleon bonaparte born?,napoleon was born on the island of corsica into a family descended from italian nobility.
who was napoleon bonaparte?,napoleon bonaparte (born napoleone di buonaparte; 15 august 1769 5 may 1821),later known by his regnal name napoleon i,was a french emperor and military commander who rose to prominence during the french revolution and led successful campaigns during the revolutionary wars.
what did napoleon do after the july revolution of 1830?,thousands of tricolor flags appeared in windows,and the government had not only to tolerate the growth of the legend but even to promote it.
what was the significance of the statue of napoleon being put back on the top of the column in the place vendôme in paris in 1833?,it was a sign of the growing popularity of the napoleonic legend.
what was the significance of the king's son françois,prince de joinville,being sent in a warship to fetch the emperor's remains from saint helena to the banks of the seine in accordance with his last wishes?,it was a sign of the government's recognition of the napoleonic legend.
what was the significance of napoleon's body being conveyed through the arc de triomphe in the place de l'étoile to entombment under the dome of the invalides?,it was a sign of the government's recognition of the napoleonic legend.
how did napoleon's nephew louis-napoléon exploit the legend in order to seize power in france?,he won election to the presidency of the second republic with an overwhelming majority in 1848 and was able to carry out the coup d'état of december 1851 and make himself emperor in 1852.
what was the significance of the disastrous end of the second empire in 1870?,it damaged the napoleonic legend and gave rise to a new anti-napoleonic literature.
what was the significance of world wars i and ii,together with the experience of the 20th-century dictatorships?,it made it possible to judge napoleon more fairly.
what were some of the positive aspects of napoleon's rule?,he was known for his tolerance,release of jews from ghettos,and respect for human life.
he was a man of the 18th century,the last of the 'enlightened despots'.
what were some of the negative aspects of napoleon's rule?,he was responsible for the napoleonic wars in which between three and six million people died.
he was an authoritarian ruler.
what were some of the lasting legacies of napoleon's rule?,he left durable institutions,the 'granite masses' on which modern france has been built up: the administrative system of the prefects,the napoleonic code,the judicial system,the banque de france and the country's financial organization,the centralized university,and the military academies.
what was the name of the monarchy established after the july revolution of 1830?,bourgeois monarchy
which french emperor had his statue put back on top of the column in the place vendôme in paris in 1833?,napoleon
in what year did françois,prince de joinville,fetch napoleon's remains from saint helena?,1840
napoleon's nephew who exploited the legend to seize power in france was who?,louis-napoléon
what was the name of the place where napoleon's body was entombed?,dôme of the invalides
how many attempts at gaining power did louis-napoléon make in 1836 and 1840?,2
in what year did louis-napoléon win election to the presidency of the second republic?,1848
in what year did louis-napoléon carry out the coup d'état and make himself emperor?,1852
what was the name of the literature that emerged after the disastrous end of the second empire and criticized napoleon's legend?,anti-napoleonic literature
who wrote the book 'origines de la france contemporaine'?,hippolyte taine
how did the experience of the 20th-century dictatorships affect the perception of napoleon?,it allowed for a fairer judgment of napoleon,making him appear more favorable in comparison to stalin or hitler
what was napoleon known for in terms of tolerance and human rights?,releasing jews from ghettos and respecting human life
what was napoleon influenced by in his ideas and governance?,the rationalist encyclopédie and the writings of the philosophies of the enlightenment
what was one of the gravest accusations made against napoleon?,sacrificing millions of men to his ambition
how many casualties did france suffer during the napoleonic wars of 1800-1815?,about 500,000
how did the napoleonic wars affect the population growth of france?,it did not greatly affect the growth of the population
what was the social structure of france like under the first empire?,peasants comprised three-fourths of the population,with half of them working owners or sharecroppers and the other half hiring themselves out as labourers
how did industry fare during the first empire?,it made remarkable progress in northern and eastern france but declined in the south and west
when did the great migrations from rural areas toward industry in the towns begin?,after 1815
how did napoleon affect the nobility?,he restored it,but it could never recover its former privileges
what were some of the durable institutions left by napoleon?,administrative system of the prefects,napoleonic code,judicial system,banque de france,centralized university,and military academies
what was napoleon's impact on the history of france and the world?,he changed the history of both france and the world
what was napoleon's regnal name?,napoleon i
what was napoleon's role in the french republic?,he was the leader of the french republic as first consul from 1799 to 1804
what was napoleon's role in the french empire?,he was the emperor of the french from 1804 until 1814,and briefly again in 1815
what is napoleon's legacy?,he is remembered as a celebrated and controversial leader who initiated many enduring reforms but has been criticized for his authoritarian rule
what is napoleon considered to be?,one of the greatest military commanders in history
what is still debated about napoleon?,whether he was responsible for the napoleonic wars in which between three and six million people died
where was napoleon born?,island of corsica
who did napoleon descend from?,italian nobility
question 1,who was resentful of the french monarchy and supported the french revolution in 1789?, answer 1,napoleon bonaparte
question 2,what did napoleon bonaparte do to rise rapidly in the ranks of the french army?, answer 2,he saved the governing french directory by firing on royalist insurgents.
question 3,when did napoleon bonaparte begin a military campaign against the austrians and their italian allies?, answer 3,1796
question 4,what did napoleon bonaparte do in 1798?, answer 4,he led a military expedition to egypt.
question 5,what did napoleon bonaparte do in november 1799?, answer 5,he engineered a coup and became first consul of the republic.
question 6,when did napoleon bonaparte crown himself emperor of the french?, answer 6,1804
question 7,what was the name of the war between france and the united kingdom in 1805?, answer 7,war of the third coalition
question 8,what did napoleon bonaparte do in the ulm campaign and at the battle of austerlitz?, answer 8,he shattered the third coalition with victories.
question 9,when did napoleon bonaparte defeat prussia at the battles of jena and auerstedt?, answer 9,1806
question 10,when did napoleon bonaparte defeat the russians at the battle of friedland?, answer 10,june 1807
who was resentful of the french monarchy?,napoleon bonaparte
what did he support in 1789?,french revolution
what did he try to spread to his native corsica?,french revolution ideals
how did he rise rapidly in the ranks?,saving the french directory
when did he begin a military campaign against the austrians?,1796
what was the outcome of this campaign?,decisive victories,became a national hero
what did he do in 1798?,led a military expedition to egypt
what did this expedition serve as a springboard to?,political power
what did he engineer in november 1799?,coup
what position did he become?,first consul of the republic
what did he do in 1804 to consolidate his power?,crowned himself emperor of the french
what did he face in 1805 due to differences with the united kingdom?,war of the third coalition
what were the victories that led to the dissolution of the holy roman empire?,battles of ulm and austerlitz
who took up arms against him in 1806?,fourth coalition
what battles did he defeat prussia at?,battles of jena and auerstedt
where did he march grande armee into?,eastern europe
what nation did he defeat in june 1807?,russians
what did the defeated nations have to accept?,treaties of tilsit
what did the austrians challenge in 1809?,french empire
which battle solidified napoleon's grip over europe?,battle of wagram
what was the purpose of his invasion of the iberian peninsula?,extend the continental system
who did he declare the king of spain?,his brother joseph
who revolted in the peninsular war?,spanish and portuguese
what was the result of the peninsular war?,defeat for napoleon's marshals
when did he launch an invasion of russia?,summer of 1812
what was the outcome of this campaign?,catastrophic retreat of napoleon's grande armee
who joined forces in 1813 to form a sixth coalition against france?,prussia and austria
what was the outcome of this coalition?,napoleon's defeat at battle of leipzig
what was the result of the invasion of france?,capture of paris,napoleon's abdication
where was napoleon exiled to?,island of elba
who was restored to power in france?,bourbons
when did napoleon escape and take control of france?,february 1815
what was the response of the allies?,forming a seventh coalition
what was the outcome of the battle of waterloo?,napoleon's defeat
where was napoleon exiled after waterloo?,island of saint helena
when did he die?,1821
what was the age of napoleon when he died?,51
